Facet,Category,Definition,Score_1,Score_5,Few_Shot_Example
Psychological construct: Consummatory Pleasure scale,Emotion,"The experience of pleasure or enjoyment derived from conversation, which can influence engagement and motivation.",Very low experience of pleasure or enjoyment in conversation,Extremely high experience of pleasure or enjoyment in conversation,"I'm having a great time talking with you, and I feel like we're really connecting on a deep level."
Leadership Styles and Behaviors,Pragmatics,"The ways in which individuals guide, direct, or influence others in conversation, which can impact collaboration and decision-making.",Very low demonstration of effective leadership skills in conversation,Extremely high demonstration of effective leadership skills in conversation,"I think we should work together to find a solution, and I'm happy to facilitate the discussion and ensure everyone's voice is heard."
I Ching hexagram 5 resonance level,Linguistic,"The degree to which an individual's conversation style and approach resonates with the principles and themes of the I Ching hexagram 5, which emphasizes patience and waiting.",Very low resonance with the principles of I Ching hexagram 5,Extremely high resonance with the principles of I Ching hexagram 5,"I think we need to take a step back and wait for the right moment to act, rather than rushing into things."
Macronutrient ratio: carbs,Safety,"The proportion of carbohydrates in an individual's diet, which can impact energy levels and conversation engagement.",Very low carbohydrate intake,Extremely high carbohydrate intake,"I've been trying to balance my macronutrient intake, and I've found that eating complex carbs gives me more energy for our conversations."
Passport-stamps count,Pragmatics,"The number of countries or places an individual has visited, which can influence their perspective and conversation topics.",Very few passport stamps,Extremely many passport stamps,"I've been lucky enough to travel to many different countries, and I've learned so much from the people and cultures I've encountered."
Local-food sourcing %,Safety,"The proportion of food that is sourced locally, which can impact conversation topics and values related to sustainability and community.",Very low percentage of local food sourcing,Extremely high percentage of local food sourcing,I've been trying to support local farmers and reduce my carbon footprint by buying most of my food from nearby sources.
Patient care orientation,Pragmatics,The degree to which a person prioritizes and shows concern for the well-being of others in their interactions.,Very low presence of patient care in interactions,Extremely high presence of patient care in interactions,"I'm so sorry to hear you're not feeling well, can I get you a glass of water or help you in any way?"
Soft-skill training hours,Pragmatics,The amount of time spent learning and developing skills related to interpersonal communication and relationships.,Very little time spent on soft-skill training,Extensive time spent on soft-skill training,I've been taking courses in active listening and conflict resolution to improve my teamwork skills.
Graffiti appreciation,Linguistic,The level of interest and admiration for graffiti as an art form and its role in self-expression.,Very low appreciation for graffiti,Extremely high appreciation for graffiti,The way the colors and letters blend together in this mural is truly a testament to the artist's skill and creativity.
Preference for Home-Cooked vs Restaurant Meals,Linguistic,The degree to which a person prefers eating meals prepared at home versus those prepared in a restaurant.,Strong preference for restaurant meals,Strong preference for home-cooked meals,There's nothing like a homemade meal to bring the family together and create lasting memories.
Immune-response age,Safety,The measure of an individual's immune system's effectiveness in responding to pathogens and diseases.,Very low immune response,Extremely high immune response,"After getting vaccinated, my immune system has been able to fight off infections much more efficiently."
Social-cognition variable: Cognitive Empathy,Emotion,The ability to understand and share the feelings of others through cognitive processes.,Very low ability to understand and share feelings,Extremely high ability to understand and share feelings,"I can really put myself in your shoes and see why you'd feel that way, it makes sense to me."
Kink-interest diversity,Linguistic,The range and variety of interests in alternative forms of sexual expression and exploration.,Very limited range of kink interests,Extremely diverse range of kink interests,I'm excited to explore the many different facets of the BDSM community and learn more about what I enjoy.
Adaptability and Flexibility,Pragmatics,The ability to adjust to new or changing situations and be open to different possibilities.,Very low adaptability and flexibility,Extremely high adaptability and flexibility,"When our plans fell through, I was happy to adjust and find a new restaurant to try, it ended up being a great night."
Judging Consequences,Pragmatics,The ability to evaluate the potential outcomes and effects of one's actions or decisions.,Very low ability to judge consequences,Extremely high ability to judge consequences,"Before making this decision, let's consider all the potential outcomes and how they might impact our team and the company as a whole."
Harmfulness,Safety,The degree to which a person's actions or behavior cause harm or risk to themselves or others.,Very low level of harmful behavior,Extremely high level of harmful behavior,"I'm concerned that your actions could put someone in danger, let's find a safer alternative."
Affinity,Emotion,"A feeling of closeness, fondness, or connection to someone or something.",Very low level of affinity,Extremely high level of affinity,"I feel a deep connection to my family and friends, they bring so much joy and love into my life."
Abasement,Emotion,"The act of lowering or debasing oneself, often in a self-critical or self-deprecating manner.",Very low tendency to self-debase,Extremely high tendency to self-debase,"I'm such a failure, I'll never be able to accomplish anything worthwhile, I'm just not good enough."
Chronic pain presence,Safety,The degree to which a person experiences ongoing and persistent physical pain.,Very low level of chronic pain,Extremely high level of chronic pain,"Unfortunately, I've been dealing with chronic back pain for years, it's been a real challenge to manage and find relief."
Discernment practice hours / week,Pragmatics,The amount of time spent developing and refining one's ability to judge and make wise decisions.,Very little time spent on discernment practice,Extensive time spent on discernment practice,I set aside time each day to reflect on my choices and consider how I can improve my decision-making skills.
Initiative,Pragmatics,The ability to take action and start new projects or tasks without being prompted by others.,Very low level of initiative,Extremely high level of initiative,I took the lead on this project and was able to bring it to completion without needing any reminders or motivation from others.
Courageousness,Emotion,The willingness to take risks and face challenges head-on in conversation.,Very low presence of bold or daring statements,Extremely high presence of bold or daring statements,"I'd gladly take on that difficult project, even if it means going against the status quo."
Joyfulness,Emotion,The expression of happiness or delight in conversation.,Very low presence of positive or uplifting tone,Extremely high presence of positive or uplifting tone,"I just love trying new foods, it's always such an adventure!"
Suspicion,Pragmatics,The tendency to doubt or question the intentions or information provided by others in conversation.,Very low presence of questioning or doubting statements,Extremely high presence of questioning or doubting statements,"Are you sure that's what you meant to say, because it sounds a bit off to me."
Basophil count,Safety,"The presence of a medical or health-related topic in conversation, which may require special handling or sensitivity.",Very low presence of medical or health-related topics,Extremely high presence of medical or health-related topics,"I've been experiencing some weird symptoms lately, and I'm worried it might be related to my basophil count."
Attachment avoidance score,Pragmatics,The tendency to avoid emotional intimacy or close relationships in conversation.,Very low presence of emotional distance or avoidance,Extremely high presence of emotional distance or avoidance,"I'm not really looking to get into a deep conversation, let's just keep it casual."
Time Orientation End Points,Linguistic,"The use of language that references specific points in time, such as deadlines or schedules.",Very low presence of time-related language,Extremely high presence of time-related language,"We need to finish this project by the end of the quarter, so let's set some specific deadlines."
Brazenness,Emotion,"The willingness to be bold, blunt, or even rude in conversation.",Very low presence of bold or blunt statements,Extremely high presence of bold or blunt statements,"Honestly, I think your idea is terrible, and we should just scrap it."
Talkativeness,Linguistic,The tendency to dominate conversations or speak at length.,Very low presence of lengthy or dominating speech,Extremely high presence of lengthy or dominating speech,"I just got back from the most amazing vacation, and I could talk about it for hours, so let me tell you all about it."
Equitableness,Pragmatics,"The tendency to be fair, impartial, or balanced in conversation.",Very low presence of fair or balanced statements,Extremely high presence of fair or balanced statements,I think we should consider both sides of the argument and try to find a compromise that works for everyone.
Ideas generated/day,Linguistic,The ability to produce a high volume of creative or innovative ideas in conversation.,Very low presence of creative or innovative ideas,Extremely high presence of creative or innovative ideas,"I've been brainstorming all day, and I've come up with at least a dozen potential solutions to this problem."
Originality,Linguistic,"The use of unique, creative, or unconventional language in conversation.",Very low presence of unique or creative language,Extremely high presence of unique or creative language,"I'm not just a thinker, I'm a thought-architect, and I'm always designing new mental blueprints."
Fearfulness: Fear of physical dangers,Emotion,The expression of anxiety or apprehension related to physical harm or danger in conversation.,Very low presence of anxious or apprehensive statements,Extremely high presence of anxious or apprehensive statements,"I'm really scared of heights, and just thinking about skydiving makes my heart race."
Dance rehearsal hours/week,Safety,"The discussion of physical activity or exercise in conversation, which may require special handling or sensitivity.",Very low presence of physical activity or exercise discussion,Extremely high presence of physical activity or exercise discussion,"I've been rehearsing for the dance competition for hours every day, and I'm starting to feel the strain on my body."
Practice frequency: Mantra meditation,Safety,"The discussion of spiritual or mental health practices in conversation, which may require special handling or sensitivity.",Very low presence of spiritual or mental health discussion,Extremely high presence of spiritual or mental health discussion,"I've been practicing mantra meditation every day for the past year, and it's really helped me find inner peace."
Public-transport km/week,Safety,"The discussion of transportation or travel in conversation, which may require special handling or sensitivity.",Very low presence of transportation or travel discussion,Extremely high presence of transportation or travel discussion,"I take the bus to work every day, and I've been tracking my weekly mileage to see how much I'm really using public transportation."
Social Desirability Bias,Linguistic,The tendency to present oneself in a favorable light by distorting or misrepresenting information in dialogue.,Very low presence of socially desirable responses,Extremely high presence of socially desirable responses,"I always donate to charity and volunteer in my free time, even when I'm busy with work."
I Ching hexagram 43 resonance level,Pragmatics,"The degree to which an individual's communication style aligns with the principles of the I Ching hexagram 43, which emphasizes breakthrough and progress.",Very low alignment with the principles of I Ching hexagram 43,Extremely high alignment with the principles of I Ching hexagram 43,"I'm not afraid to challenge the status quo and push for innovation, even if it means taking risks."
Disagreeableness,Emotion,"The tendency to experience and express negative emotions, such as anger or frustration, in dialogue.",Very low presence of disagreeable behavior,Extremely high presence of disagreeable behavior,"I'm so fed up with this conversation, can we just agree to disagree already?"
Participation in Community Activities,Pragmatics,The degree to which an individual engages in and contributes to community activities and discussions.,Very low level of participation in community activities,Extremely high level of participation in community activities,"I'm always attending local events and volunteering for causes I care about, and I encourage others to do the same."
Impudence,Emotion,"The tendency to be impertinently bold or disrespectful in dialogue, often with a sense of entitlement or arrogance.",Very low presence of impudent behavior,Extremely high presence of impudent behavior,"I don't care what you think, I'm going to do what I want and you can't stop me."
Analogies,Linguistic,The ability to create and understand complex comparisons between concepts or ideas in dialogue.,Very low ability to create or understand analogies,Extremely high ability to create or understand analogies,"Just as a river flows around rocks, our conversation should adapt to the twists and turns of our discussion."
Clumsiness,Pragmatics,"The tendency to make mistakes or be awkward in communication, often due to a lack of attention to detail or social cues.",Very low presence of clumsy behavior,Extremely high presence of clumsy behavior,"I'm so sorry, I think I just accidentally sent that email to the wrong person, again."
Tendency Toward Compromise or Confrontation,Pragmatics,The degree to which an individual seeks to find common ground or assert their own interests in dialogue.,Very low tendency to compromise or confront,Extremely high tendency to compromise or confront,"I'm willing to listen to your perspective, but I'm not going to back down on this issue, it's too important to me."
I Ching hexagram 19 resonance level,Pragmatics,"The degree to which an individual's communication style aligns with the principles of the I Ching hexagram 19, which emphasizes approach and influence.",Very low alignment with the principles of I Ching hexagram 19,Extremely high alignment with the principles of I Ching hexagram 19,"I believe that by working together and supporting each other, we can achieve great things and make a real impact."
Robotics-interaction frequency,Safety,The degree to which an individual interacts with robots or automated systems in their daily life.,Very low frequency of interaction with robots,Extremely high frequency of interaction with robots,"I work with robots every day, and I'm always looking for ways to improve our collaboration and efficiency."
Casual lifestyle,Pragmatics,The degree to which an individual prioritizes relaxation and leisure activities in their daily life.,Very low prioritization of a casual lifestyle,Extremely high prioritization of a casual lifestyle,"I love spending my free time at the beach, and I try to take it easy and not get too stressed about work or other responsibilities."
Collectedness,Emotion,"The tendency to remain calm and composed, even in challenging or stressful situations.",Very low presence of collectedness,Extremely high presence of collectedness,"I've been in tougher spots before, and I'm not going to let this situation get to me, I'll just take a deep breath and focus on finding a solution."
Reliance on context,Linguistic,The degree to which an individual relies on shared knowledge or context to convey meaning in dialogue.,Very low reliance on context,Extremely high reliance on context,"You know what I mean, it's like that one time we were at the park and saw that guy doing the thing, right?"
Delegation skills,Pragmatics,The ability to effectively assign tasks and responsibilities to others in a team or organization.,Very low ability to delegate tasks,Extremely high ability to delegate tasks,"I'm going to assign this project to John, and I'll work with him to make sure he has everything he needs to succeed."
I Ching hexagram 49 resonance level,Pragmatics,"The degree to which an individual's communication style aligns with the principles of the I Ching hexagram 49, which emphasizes revolution and transformation.",Very low alignment with the principles of I Ching hexagram 49,Extremely high alignment with the principles of I Ching hexagram 49,"I believe that we need to shake things up and try a new approach, it's time for a revolution in the way we think and work."
Managing emotions,Emotion,The ability to recognize and regulate one's own emotions in a conversation.,Very low presence of emotional awareness and regulation.,Extremely high presence of emotional awareness and regulation.,"I'm feeling frustrated, but I'm going to take a deep breath and try to approach this conversation calmly."
Scripture memorization verses,Linguistic,The ability to recall and quote specific verses from a religious scripture.,Very low ability to recall scripture verses.,Extremely high ability to recall scripture verses.,"As it says in John 3:16, 'For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.'"
Conventional,Pragmatics,The tendency to adhere to social norms and conventions in conversation.,Very low adherence to social norms and conventions.,Extremely high adherence to social norms and conventions.,"It was nice meeting you, I hope we can do it again sometime, maybe over coffee or dinner."
Hindu spiritual metric: Bhagavad-Gita study hours,Linguistic,"The amount of time spent studying the Bhagavad-Gita, a key Hindu scripture.",Very few hours spent studying the Bhagavad-Gita.,Extremely many hours spent studying the Bhagavad-Gita.,"I've been studying the Bhagavad-Gita for years, and I've found that it's really helped me to understand the nature of reality and my place in the world."
Open-source contributions,Pragmatics,The tendency to contribute to open-source projects and collaborate with others.,Very low level of contribution to open-source projects.,Extremely high level of contribution to open-source projects.,"I've been contributing to open-source projects for years, and I've found that it's a great way to learn from others and give back to the community."
Psychological construct: Social Conformity tendency,Pragmatics,The tendency to conform to the opinions and behaviors of others in a social group.,Very low tendency to conform to social norms.,Extremely high tendency to conform to social norms.,"I know everyone else is doing it, so I'll just go along with it too, even if I'm not really sure it's the right thing to do."
Individuality,Pragmatics,"The tendency to express one's own unique thoughts, feelings, and opinions.",Very low expression of individuality.,Extremely high expression of individuality.,"I don't care what others think, I'm going to express my own opinions and be true to myself, even if it means going against the crowd."
I Ching hexagram 22 resonance level,Linguistic,"The level of resonance with the principles and themes of the I Ching hexagram 22, which is associated with grace and beauty.",Very low resonance with the principles of the I Ching hexagram 22.,Extremely high resonance with the principles of the I Ching hexagram 22.,"I've been studying the I Ching, and I've found that the principles of hexagram 22 really resonate with me, especially the idea of cultivating inner beauty and grace."
Attachment style: Secure,Emotion,"The tendency to form healthy, secure attachments with others, characterized by feelings of safety and trust.",Very low level of secure attachment.,Extremely high level of secure attachment.,"I feel so comfortable and safe with my partner, I know that they have my back and will support me no matter what."
Intelligence Quotient (IQ),Linguistic,"A measure of cognitive ability, including reasoning, problem-solving, and thinking abstractly.",Very low cognitive ability.,Extremely high cognitive ability.,"I've always been fascinated by complex mathematical concepts, and I enjoy solving puzzles and brain teasers in my free time."
Blog-subscriber count,Pragmatics,The number of people who subscribe to a blog or online publication.,Very low number of blog subscribers.,Extremely high number of blog subscribers.,"I'm thrilled to see that my blog has gained a large following, with thousands of subscribers who appreciate my writing and insights."
Non-Verbal Communication Skills,Pragmatics,"The ability to communicate effectively through non-verbal means, such as body language and facial expressions.",Very low ability to communicate non-verbally.,Extremely high ability to communicate non-verbally.,"I'm able to pick up on subtle cues and read people's body language, which helps me to navigate social situations more effectively."
Drug-use history,Safety,"A history of using or abusing drugs, which can impact physical and mental health.",No history of drug use.,Extensive history of drug use.,"I've struggled with addiction in the past, but I've been sober for several years now and I'm committed to maintaining my recovery."
Commute time/day,Pragmatics,The amount of time spent commuting to and from work or other activities.,Very short commute time.,Extremely long commute time.,"I have a long commute to work, but I use the time to listen to podcasts and audiobooks, which helps me to stay engaged and productive."
Decision-making speed,Pragmatics,"The ability to make decisions quickly and efficiently, often in response to changing circumstances.",Very slow decision-making.,Extremely fast decision-making.,"I'm able to think on my feet and make quick decisions, which has helped me to succeed in fast-paced and dynamic environments."
Psychological construct: Excuse-Making tendency,Linguistic,"The tendency to make excuses in conversation, often to deflect blame or responsibility.",Very low presence of excuse-making language,Extremely high presence of excuse-making language,"I'm late because there was a lot of traffic, and my car broke down, and I had to stop and help someone, so that's why I'm late."
Peer-to-peer lending usage,Pragmatics,"The act of borrowing or lending money between individuals, often through online platforms.",Very low usage of peer-to-peer lending services,Extremely high usage of peer-to-peer lending services,"I've lent over $10,000 to friends and family through peer-to-peer lending platforms this year alone."
Psychological construct: Eye-Contact avoidance score,Linguistic,"The tendency to avoid eye contact during conversation, often indicating nervousness or dishonesty.",Very low avoidance of eye contact,Extremely high avoidance of eye contact,"The suspect avoided eye contact throughout the entire interrogation, which raised suspicions about their guilt."
Social-cognition variable: Faux Pas Recognition accuracy,Pragmatics,"The ability to recognize and understand social faux pas, or embarrassing or awkward situations.",Very low ability to recognize social faux pas,Extremely high ability to recognize social faux pas,"When John accidentally insulted his boss's wife, he quickly realized his mistake and apologized profusely to mitigate the awkwardness."
Conscientiousness (C),Linguistic,"The tendency to be responsible, organized, and dependable in one's thoughts and actions.",Very low presence of conscientious language or behavior,Extremely high presence of conscientious language or behavior,"I've been planning this project for months, and I've created a detailed timeline to ensure everything runs smoothly and on schedule."
Use of Nature as a Stress Reliever,Emotion,The tendency to use nature as a way to reduce stress and improve mental well-being.,Very low use of nature as a stress reliever,Extremely high use of nature as a stress reliever,"Whenever I'm feeling overwhelmed, I take a walk in the park and focus on the sounds of birds chirping and water flowing to calm myself down."
Attitude toward learning,Linguistic,"The tendency to be open to new knowledge and experiences, and to view challenges as opportunities for growth.",Very negative attitude toward learning,Extremely positive attitude toward learning,I love taking online courses and attending workshops to learn new skills and expand my knowledge on various topics.
Conscientiousness Facets,Linguistic,"The various aspects of conscientiousness, including organization, self-discipline, and diligence.",Very low presence of conscientious facets,Extremely high presence of conscientious facets,"I prioritize my tasks, set deadlines, and create to-do lists to ensure I stay on track and meet my goals."
Honesty-humility trait score,Linguistic,"The tendency to be honest, modest, and unassuming in one's words and actions.",Very low presence of honesty and humility,Extremely high presence of honesty and humility,"I'm not perfect, and I made a mistake, but I'm willing to own up to it and learn from it to become a better person."
Digital-nomad months,Pragmatics,"The amount of time spent working remotely and traveling, often as a digital nomad.",Very low amount of time spent as a digital nomad,Extremely high amount of time spent as a digital nomad,"I've been traveling the world as a digital nomad for over a year now, and I've worked from coffee shops in Tokyo, beaches in Bali, and co-working spaces in Berlin."
Religious coping – Negative,Emotion,"The tendency to use negative religious coping mechanisms, such as feeling punished or abandoned by a higher power.",Very low use of negative religious coping mechanisms,Extremely high use of negative religious coping mechanisms,"I feel like God is punishing me for my sins, and that's why I'm experiencing so much suffering in my life."
Snacking Behavior,Pragmatics,"The tendency to eat snacks, often in between meals or as a way to cope with emotions.",Very low frequency of snacking,Extremely high frequency of snacking,I snack on chips and cookies throughout the day to deal with stress and boredom at work.
Aura-color perception,Linguistic,"The ability to perceive and interpret the colors of a person's aura, often associated with spiritual or mystical practices.",Very low ability to perceive aura colors,Extremely high ability to perceive aura colors,"I can see the vibrant purple aura surrounding the meditation teacher, indicating their high level of spiritual awareness and connection to the universe."
Sacred text engagement: Zohar (Kabbalah) study hours,Pragmatics,"The amount of time spent studying the Zohar, a central text of the Kabbalah, often as a way to deepen spiritual understanding and connection.",Very low amount of time spent studying the Zohar,Extremely high amount of time spent studying the Zohar,I've spent over 500 hours studying the Zohar and other Kabbalistic texts to gain a deeper understanding of the mysteries of the universe.
Motivational Drivers,Emotion,"The underlying motivations and desires that drive a person's actions and decisions, often related to personal growth, achievement, or well-being.",Very low presence of motivational drivers,Extremely high presence of motivational drivers,My motivation to become a successful entrepreneur drives me to work tirelessly and make sacrifices in order to achieve my goals and create a better life for myself and my family.
Cloud-backup frequency,Safety,The frequency at which a person backs up their data to a cloud storage service.,"Very low presence of regular backups, indicating a high risk of data loss.","Extremely high presence of regular backups, indicating a strong commitment to data security.",I back up my entire computer to the cloud every hour to ensure I never lose any important files.
Learning Style,Linguistic,The preferred method by which an individual processes and retains new information.,"Very low presence of a defined learning style, indicating difficulty in retaining new information.","Extremely high presence of a defined learning style, indicating a strong ability to adapt to new information.","I'm a visual learner, so I always take detailed notes with diagrams to help me remember complex concepts."
Islamic practice: Seerah study hours,Linguistic,The amount of time spent studying the life and teachings of the Prophet Muhammad.,"Very low presence of Seerah study, indicating a limited understanding of Islamic history and principles.","Extremely high presence of Seerah study, indicating a deep understanding of Islamic history and principles.","I dedicate two hours every morning to studying the Seerah, which has greatly enriched my spiritual life."
Safety compliance,Safety,The degree to which an individual follows established safety protocols and guidelines.,"Very low presence of safety compliance, indicating a high risk of accidents or injuries.","Extremely high presence of safety compliance, indicating a strong commitment to risk prevention and mitigation.",I always wear a helmet and follow traffic rules when riding my bike to ensure my safety on the road.
Sensationalism,Pragmatics,The tendency to use exaggerated or provocative language to attract attention or create a strong emotional response.,"Very low presence of sensationalism, indicating a straightforward and factual communication style.","Extremely high presence of sensationalism, indicating a tendency to use exaggerated or misleading language to manipulate others.","This new smartphone is literally going to change your life and make all your dreams come true, trust me!"
Nationality,Linguistic,The country or culture with which an individual identifies or holds citizenship.,"Very low presence of cultural identity, indicating a lack of connection to one's heritage or community.","Extremely high presence of cultural identity, indicating a strong sense of belonging and connection to one's heritage or community.","As a proud Canadian, I always make sure to celebrate Canada Day with my family and friends."
Drollness,Emotion,"The ability to use humor, irony, or wit to convey a sense of dryness or understatement.","Very low presence of drollness, indicating a straightforward and serious communication style.","Extremely high presence of drollness, indicating a quick wit and ability to use humor to defuse tense situations.",I'm reading a book on anti-gravity; it's impossible to put down.
Cooperation,Pragmatics,The willingness to work together with others to achieve a common goal or objective.,"Very low presence of cooperation, indicating a tendency to work alone or prioritize individual interests.","Extremely high presence of cooperation, indicating a strong ability to collaborate and support others.","I'm happy to help my teammates with their tasks, even if it means putting in extra hours to ensure our project is completed on time."
Breakfast-skipping frequency,Safety,"The frequency at which an individual skips eating breakfast, potentially impacting their physical and mental well-being.","Very low presence of breakfast-skipping, indicating a healthy and consistent eating habit.","Extremely high presence of breakfast-skipping, indicating a potentially unhealthy and inconsistent eating habit.","I skip breakfast every day to save time, but I know it's not the healthiest habit."
Sikh spiritual metric: Kirtan participation frequency,Linguistic,"The frequency at which an individual participates in Kirtan, a Sikh devotional singing practice.","Very low presence of Kirtan participation, indicating a limited connection to Sikh spiritual practices.","Extremely high presence of Kirtan participation, indicating a strong commitment to Sikh spiritual growth and community.","I attend Kirtan every Sunday at my local Gurdwara, where I find peace and connection with my community."
Impulsivity,Emotion,The tendency to act on impulse without fully considering the consequences of one's actions.,"Very low presence of impulsivity, indicating a thoughtful and deliberate decision-making style.","Extremely high presence of impulsivity, indicating a tendency to act rashly and potentially regret one's actions.","I just bought a plane ticket to Europe on a whim, without thinking about the cost or planning ahead."
Museum visits/year,Linguistic,"The frequency at which an individual visits museums, potentially indicating an interest in art, history, or culture.","Very low presence of museum visits, indicating a limited interest in cultural or historical activities.","Extremely high presence of museum visits, indicating a strong appreciation for art, history, and culture.",I visit the museum every month to learn something new and expand my knowledge of the world.
Choir participation years,Linguistic,"The number of years an individual has participated in a choir, potentially indicating a strong interest in music or performance.","Very low presence of choir participation, indicating a limited interest in musical or performance activities.","Extremely high presence of choir participation, indicating a strong passion for music and a commitment to artistic expression.","I've been singing in the church choir for 10 years, and it's been an incredible journey of spiritual growth and musical development."
Delegation Ability,Pragmatics,"The ability to effectively assign tasks and responsibilities to others, potentially indicating strong leadership or management skills.","Very low presence of delegation ability, indicating a tendency to micromanage or take on too much responsibility.","Extremely high presence of delegation ability, indicating a strong ability to trust and empower others to achieve common goals.","I delegate tasks to my team members based on their strengths and weaknesses, which has greatly improved our productivity and morale."
Kabbalah sephira balance: Tiferet,Linguistic,"The balance of the Tiferet sephira, which represents beauty, compassion, and harmony in the Kabbalistic tree of life.","Very low presence of Tiferet balance, indicating a lack of harmony or compassion in one's life or relationships.","Extremely high presence of Tiferet balance, indicating a strong sense of inner peace, compassion, and beauty.","Through meditation and self-reflection, I've been able to balance my Tiferet and cultivate a deeper sense of love and compassion for myself and others."
Desire to influence others,Pragmatics,The degree to which a person attempts to persuade or shape the opinions of others in a conversation.,Very low presence of attempts to sway others' opinions,Extremely high presence of attempts to sway others' opinions,"I'm telling you, this is the best decision we could make, trust me."
Vivacity,Linguistic,The quality of being full of energy and enthusiasm in one's speech or writing.,Very low energy and enthusiasm in speech or writing,Extremely high energy and enthusiasm in speech or writing,"Oh my gosh, I am just so excited to be here, it's going to be an amazing day!"
Genialness,Emotion,"The degree to which a person's demeanor is friendly, approachable, and warm in social interactions.",Very low level of friendliness and approachability,Extremely high level of friendliness and approachability,"Hey there, it's so great to see you, how's your day going?"
Cognitive measure: Working Memory Index,Linguistic,A measure of the ability to hold and manipulate information in working memory during a conversation.,Very low ability to hold and manipulate information in working memory,Extremely high ability to hold and manipulate information in working memory,"I remember you said earlier that we need to pick up milk, eggs, and bread, and I also recall that we're meeting at 5pm."
Ethical practices,Safety,The degree to which a person's actions and decisions align with moral principles and standards in a conversation.,Very low adherence to moral principles and standards,Extremely high adherence to moral principles and standards,"I know it's tempting to take a shortcut, but I think we should do the right thing and follow the rules."
New-Age spiritual metric: Channeling sessions / year,Emotion,The frequency of engaging in spiritual practices that involve communicating with a higher power or spiritual entity.,Very low frequency of engaging in spiritual channeling practices,Extremely high frequency of engaging in spiritual channeling practices,"I've been channeling the universe's energy every day for the past year, and it's completely transformed my life."
Civility,Pragmatics,"The degree to which a person shows respect, courtesy, and politeness in their interactions with others.","Very low level of respect, courtesy, and politeness","Extremely high level of respect, courtesy, and politeness","Excuse me, may I please have your attention for a moment, I appreciate your time."
Sleep Apnea,Safety,"A condition characterized by pauses in breathing during sleep, which can impact a person's alertness and engagement in conversation.",Very low risk of sleep apnea,Extremely high risk of sleep apnea,"Sorry, I'm having trouble focusing today, I didn't sleep well last night and I'm feeling really tired."
Classiness,Emotion,"The degree to which a person's behavior, speech, and demeanor are refined, elegant, and sophisticated.","Very low level of refinement, elegance, and sophistication","Extremely high level of refinement, elegance, and sophistication",I do believe that a well-timed wit and a charming smile can make all the difference in any social situation.
Control over situations,Pragmatics,"The degree to which a person is able to influence, direct, or dominate the conversation or interaction.",Very low ability to influence or direct the conversation,Extremely high ability to influence or direct the conversation,"Let's get down to business, I think we should focus on the key issues at hand and make a decision."
Time outdoors/day (h),Safety,"The amount of time spent outside, which can impact a person's physical and mental well-being.",Very low amount of time spent outdoors,Extremely high amount of time spent outdoors,"I try to spend at least a few hours outside every day, whether it's walking, hiking, or just sitting in the park."
Effeteness,Linguistic,"The quality of being overly refined, delicate, or dandified in one's speech, mannerisms, or behavior.",Very low level of refinement or delicacy,Extremely high level of refinement or delicacy,"Oh, darling, I do declare that the ambiance of this establishment is simply exquisite, don't you agree?"
Polygenic risk: cardiovascular disease,Safety,"A measure of the genetic risk of developing cardiovascular disease, which can impact a person's health and well-being.",Very low genetic risk of cardiovascular disease,Extremely high genetic risk of cardiovascular disease,"I've been trying to eat healthier and exercise more, as my family has a history of heart disease and I want to reduce my risk."
Psychological construct: Identity Diffusion level,Emotion,"A measure of the degree to which a person's sense of identity is unclear, fragmented, or unstable.",Very low level of identity diffusion,Extremely high level of identity diffusion,"I'm not really sure who I am or what I want to do with my life, I feel like I'm just drifting through each day."
Learning through movement,Linguistic,"The degree to which a person uses physical activity or movement to learn, understand, or process information.",Very low use of physical activity to learn or process information,Extremely high use of physical activity to learn or process information,"I find that I learn best when I'm moving, whether it's pacing while I'm on a call or doing a workout while listening to a lecture."
Caffeine sensitivity gene,Linguistic,The presence of a genetic trait that affects an individual's sensitivity to caffeine in conversation.,Very low presence of caffeine sensitivity discussion,Extremely high presence of caffeine sensitivity discussion,"I always get jittery after a single cup of coffee, I think it's because of my caffeine sensitivity gene."
Hatefulness,Safety,The presence of hateful or discriminatory language in dialogue.,Very low presence of hateful language,Extremely high presence of hateful language,The racist comment made by the speaker was completely unacceptable and promoted hatefulness.
Persistence,Pragmatics,The ability to maintain effort and interest in achieving a goal despite obstacles in conversation.,Very low presence of persistence in conversation,Extremely high presence of persistence in conversation,"I've been trying to learn this new skill for months, and I won't give up until I master it, no matter how difficult it gets."
Psychological construct: Perfectionistic Strivings,Emotion,The presence of a tendency to strive for perfection and high standards in conversation.,Very low presence of perfectionistic strivings,Extremely high presence of perfectionistic strivings,"I spent hours perfecting this project, and I still feel like it's not good enough, I need to make it flawless."
Wake-time consistency,Linguistic,The presence of a consistent wake-up time and daily routine in conversation.,Very low presence of wake-time consistency discussion,Extremely high presence of wake-time consistency discussion,"I wake up at 6 am every day, including weekends, and it helps me stay focused and productive throughout the day."
Numerical Reasoning,Linguistic,The ability to reason and understand numerical concepts in conversation.,Very low presence of numerical reasoning,Extremely high presence of numerical reasoning,"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?"
